    PID TTY          TIME CMD
  49752 pts/1    00:00:08 java
  49863 pts/1    00:00:01 java
  49916 pts/1    00:00:00 sh
  49917 pts/1    00:00:00 ps
.
..
.gitignore
pom.xml
README.md
src
target
    PID TTY          TIME CMD
    634 pts/0    00:00:00 bash
   2087 pts/0    00:00:08 java
   2145 pts/0    00:00:02 java
   2172 pts/0    00:00:00 sh
   2174 pts/0    00:00:00 ps
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23236 13940 ?        Ss   14:58   0:01 /sbin/init splash
root         298  0.0  0.0      0     0 ?        S    14:58   0:00 [scsi_eh_11]
root         299  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-scsi_]
root         300  0.0  0.0      0     0 ?        S    14:58   0:00 [usb-storage]
root         301  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-uas]
root         332  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-raid5]
root         420  0.0  0.0      0     0 ?        S    14:58   0:00 [jbd2/sdb3-8]
root         421  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-ext4-]
root         444  0.0  0.0      0     0 ?        I    14:58   0:00 [kworker/11:2-events]
root         482  0.0  0.0  99884 16880 ?        S<s  14:58   0:00 /usr/lib/systemd/systemd-journald
root         512  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-rpcio]
root         513  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-xprti]
root         514  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-nvme-]
root         515  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-nvme-]
root         516  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-nvme-]
root         517  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-nvme-]
root         519  0.0  0.0      0     0 ?        I    14:58   0:00 [kworker/5:2-cgroup_destroy]
root         522  0.0  0.0      0     0 ?        I    14:58   0:00 [kworker/10:2-ipv6_addrconf]
root         568  0.0  0.0  29940  7936 ?        Ss   14:58   0:00 /usr/lib/systemd/systemd-udevd
root         573  0.0  0.0      0     0 ?        S    14:58   0:00 [psimon]
root         979  0.0  0.0      0     0 ?        S    14:58   0:00 [jbd2/sda1-8]
root         980  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-ext4-]
root         984  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-amdgp]
root         985  0.0  0.0      0     0 ?        S    14:58   0:00 [jbd2/sdb4-8]
root         986  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-ext4-]
root         991  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-ttm]
root         992  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-amdgp]
root         993  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-amdgp]
root         994  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-amdgp]
root         995  0.0  0.0      0     0 ?        I<   14:58   0:00 [kworker/R-dm_vb]
root         996  0.0  0.0      0     0 ?        S    14:58   0:00 [card1-crtc0]
root         997  0.0  0.0      0     0 ?        S    14:58   0:00 [card1-crtc1]
root         998  0.0  0.0      0     0 ?        S    14:58   0:00 [card1-crtc2]
root         999  0.0  0.0      0     0 ?        S    14:58   0:00 [card1-crtc3]
root        1011  0.0  0.0      0     0 ?        S<   14:58   0:00 [spl_system_task]
root        1012  0.0  0.0      0     0 ?        S<   14:58   0:00 [spl_delay_taskq]
root        1013  0.0  0.0      0     0 ?        S<   14:58   0:00 [spl_dynamic_tas]
root        1014  0.0  0.0      0     0 ?        S<   14:58   0:00 [spl_kmem_cache]
root        1016  0.0  0.0      0     0 ?        S<   14:58   0:00 [zvol]
root        1017  0.0  0.0      0     0 ?        S    14:58   0:00 [arc_prune]
root        1018  0.0  0.0      0     0 ?        S    14:58   0:00 [arc_evict]
root        1019  0.0  0.0      0     0 ?        SN   14:58   0:00 [arc_reap]
root        1020  0.0  0.0      0     0 ?        S    14:58   0:00 [dbu_evict]
root        1021  0.0  0.0      0     0 ?        SN   14:58   0:00 [dbuf_evict]
root        1022  0.0  0.0      0     0 ?        SN   14:58   0:00 [z_vdev_file]
root        1023  0.0  0.0      0     0 ?        S    14:58   0:00 [l2arc_feed]
_rpc        1191  0.0  0.0   7968  3712 ?        Ss   14:58   0:00 /sbin/rpcbind -f -w
systemd+    1192  0.0  0.0  21840 12928 ?        Ss   14:58   0:00 /usr/lib/systemd/systemd-resolved
systemd+    1193  0.0  0.0  91560  8064 ?        Ssl  14:58   0:00 /usr/lib/systemd/systemd-timesyncd
root        1204  0.0  0.0   5140  1536 ?        Ss   14:58   0:00 /usr/sbin/blkmapd
root        1212  0.0  0.0   5632  2688 ?        Ss   14:58   0:00 /usr/sbin/nfsdcld
root        1263  0.0  0.0 316472  8008 ?        Ssl  14:58   0:00 /usr/libexec/accounts-daemon
avahi       1265  0.0  0.0   8772  4352 ?        Ss   14:58   0:00 avahi-daemon: running [a108pc15.local]
message+    1267  0.0  0.0  12084  6144 ?        Ss   14:58   0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        1270  0.0  0.0   5428  3456 ?        Ss   14:58   0:00 /usr/sbin/fsidd
root        1274  0.0  0.0  83016  3968 ?        Ssl  14:58   0:00 /usr/sbin/irqbalance
polkitd     1296  0.0  0.0 385044 10408 ?        Ssl  14:58   0:00 /usr/lib/polkit-1/polkitd --no-debug
root        1297  0.0  0.0 316380  7296 ?        Ssl  14:58   0:00 /usr/libexec/power-profiles-daemon
prometh+    1303  0.0  0.0 1611376 14976 ?       Ssl  14:58   0:00 /usr/bin/prometheus-node-exporter
root        1306  0.0  0.0  12560  6656 ?        Ss   14:58   0:00 /usr/sbin/smartd -n
root        1318  0.0  0.0 312468  6656 ?        Ssl  14:58   0:00 /usr/libexec/switcheroo-control
root        1320  0.0  0.0  18140  8748 ?        Ss   14:58   0:00 /usr/lib/systemd/systemd-logind
root        1321  0.0  0.0  17540  7680 ?        Ss   14:58   0:00 /usr/lib/systemd/systemd-machined
root        1323  0.0  0.0 258812 14592 ?        Ssl  14:58   0:02 /usr/bin/touchegg --daemon
root        1325  0.0  0.0 469452 14572 ?        Ssl  14:58   0:00 /usr/libexec/udisks2/udisksd
root        1332  0.0  0.0  76492 14592 ?        Ss   14:58   0:00 /usr/sbin/virtlockd
root        1336  0.0  0.0  76496 14464 ?        Ss   14:58   0:00 /usr/sbin/virtlogd
root        1338  0.0  0.0 102120  5376 ?        Ssl  14:58   0:00 zed -F
avahi       1347  0.0  0.0   8424  1288 ?        S    14:58   0:00 avahi-daemon: chroot helper
syslog      1352  0.0  0.0 222508  5760 ?        Ssl  14:58   0:00 /usr/sbin/rsyslogd -n -iNONE
root        1893  0.0  0.0 341220 20768 ?        Ssl  14:58   0:00 /usr/sbin/NetworkManager --no-daemon
root        1894  0.0  0.0  17380  6016 ?        Ss   14:58   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1920  0.0  0.0 318356 12344 ?        Ssl  14:58   0:00 /usr/sbin/ModemManager
